"","Method","id","ace_a","ace_c","ace_e","n","NGroups","NDependentVars","NIndependentVars","NContinuousLatentVars","Parameters","TrueModel","aBIC_ace_0.01","aBIC_ace_0.025","aBIC_ace_0.05","aBIC_ace_0.1","aBIC_ace_0.5","aBIC_ace_0.9","aBIC_ace_0.95","aBIC_ace_0.975","aBIC_ace_0.99","aBIC_ace_NA","AIC_ace_0.01","AIC_ace_0.025","AIC_ace_0.05","AIC_ace_0.1","AIC_ace_0.5","AIC_ace_0.9","AIC_ace_0.95","AIC_ace_0.975","AIC_ace_0.99","AIC_ace_NA","BIC_ace_0.01","BIC_ace_0.025","BIC_ace_0.05","BIC_ace_0.1","BIC_ace_0.5","BIC_ace_0.9","BIC_ace_0.95","BIC_ace_0.975","BIC_ace_0.99","BIC_ace_NA","CFI_ace_0.01","CFI_ace_0.025","CFI_ace_0.05","CFI_ace_0.1","CFI_ace_0.5","CFI_ace_0.9","CFI_ace_0.95","CFI_ace_0.975","CFI_ace_0.99","CFI_ace_NA","ChiSqBaseline_DF_ace_0.01","ChiSqBaseline_DF_ace_0.025","ChiSqBaseline_DF_ace_0.05","ChiSqBaseline_DF_ace_0.1","ChiSqBaseline_DF_ace_0.5","ChiSqBaseline_DF_ace_0.9","ChiSqBaseline_DF_ace_0.95","ChiSqBaseline_DF_ace_0.975","ChiSqBaseline_DF_ace_0.99","ChiSqBaseline_DF_ace_NA","ChiSqBaseline_PValue_ace_0.01","ChiSqBaseline_PValue_ace_0.025","ChiSqBaseline_PValue_ace_0.05","ChiSqBaseline_PValue_ace_0.1","ChiSqBaseline_PValue_ace_0.5","ChiSqBaseline_PValue_ace_0.9","ChiSqBaseline_PValue_ace_0.95","ChiSqBaseline_PValue_ace_0.975","ChiSqBaseline_PValue_ace_0.99","ChiSqBaseline_PValue_ace_NA","ChiSqBaseline_Value_ace_0.01","ChiSqBaseline_Value_ace_0.025","ChiSqBaseline_Value_ace_0.05","ChiSqBaseline_Value_ace_0.1","ChiSqBaseline_Value_ace_0.5","ChiSqBaseline_Value_ace_0.9","ChiSqBaseline_Value_ace_0.95","ChiSqBaseline_Value_ace_0.975","ChiSqBaseline_Value_ace_0.99","ChiSqBaseline_Value_ace_NA","ChiSqM_DF_ace_0.01","ChiSqM_DF_ace_0.025","ChiSqM_DF_ace_0.05","ChiSqM_DF_ace_0.1","ChiSqM_DF_ace_0.5","ChiSqM_DF_ace_0.9","ChiSqM_DF_ace_0.95","ChiSqM_DF_ace_0.975","ChiSqM_DF_ace_0.99","ChiSqM_DF_ace_NA","ChiSqM_PValue_ace_0.01","ChiSqM_PValue_ace_0.025","ChiSqM_PValue_ace_0.05","ChiSqM_PValue_ace_0.1","ChiSqM_PValue_ace_0.5","ChiSqM_PValue_ace_0.9","ChiSqM_PValue_ace_0.95","ChiSqM_PValue_ace_0.975","ChiSqM_PValue_ace_0.99","ChiSqM_PValue_ace_NA","ChiSqM_Value_ace_0.01","ChiSqM_Value_ace_0.025","ChiSqM_Value_ace_0.05","ChiSqM_Value_ace_0.1","ChiSqM_Value_ace_0.5","ChiSqM_Value_ace_0.9","ChiSqM_Value_ace_0.95","ChiSqM_Value_ace_0.975","ChiSqM_Value_ace_0.99","ChiSqM_Value_ace_NA","LL_ace_0.01","LL_ace_0.025","LL_ace_0.05","LL_ace_0.1","LL_ace_0.5","LL_ace_0.9","LL_ace_0.95","LL_ace_0.975","LL_ace_0.99","LL_ace_NA","RMSEA_90CI_LB_ace_0.01","RMSEA_90CI_LB_ace_0.025","RMSEA_90CI_LB_ace_0.05","RMSEA_90CI_LB_ace_0.1","RMSEA_90CI_LB_ace_0.5","RMSEA_90CI_LB_ace_0.9","RMSEA_90CI_LB_ace_0.95","RMSEA_90CI_LB_ace_0.975","RMSEA_90CI_LB_ace_0.99","RMSEA_90CI_LB_ace_NA","RMSEA_90CI_UB_ace_0.01","RMSEA_90CI_UB_ace_0.025","RMSEA_90CI_UB_ace_0.05","RMSEA_90CI_UB_ace_0.1","RMSEA_90CI_UB_ace_0.5","RMSEA_90CI_UB_ace_0.9","RMSEA_90CI_UB_ace_0.95","RMSEA_90CI_UB_ace_0.975","RMSEA_90CI_UB_ace_0.99","RMSEA_90CI_UB_ace_NA","RMSEA_Estimate_ace_0.01","RMSEA_Estimate_ace_0.025","RMSEA_Estimate_ace_0.05","RMSEA_Estimate_ace_0.1","RMSEA_Estimate_ace_0.5","RMSEA_Estimate_ace_0.9","RMSEA_Estimate_ace_0.95","RMSEA_Estimate_ace_0.975","RMSEA_Estimate_ace_0.99","RMSEA_Estimate_ace_NA","RMSEA_pLT05_ace_0.01","RMSEA_pLT05_ace_0.025","RMSEA_pLT05_ace_0.05","RMSEA_pLT05_ace_0.1","RMSEA_pLT05_ace_0.5","RMSEA_pLT05_ace_0.9","RMSEA_pLT05_ace_0.95","RMSEA_pLT05_ace_0.975","RMSEA_pLT05_ace_0.99","RMSEA_pLT05_ace_NA","SRMR_ace_0.01","SRMR_ace_0.025","SRMR_ace_0.05","SRMR_ace_0.1","SRMR_ace_0.5","SRMR_ace_0.9","SRMR_ace_0.95","SRMR_ace_0.975","SRMR_ace_0.99","SRMR_ace_NA","TLI_ace_0.01","TLI_ace_0.025","TLI_ace_0.05","TLI_ace_0.1","TLI_ace_0.5","TLI_ace_0.9","TLI_ace_0.95","TLI_ace_0.975","TLI_ace_0.99","TLI_ace_NA","UnrestrictedLL_ace_0.01","UnrestrictedLL_ace_0.025","UnrestrictedLL_ace_0.05","UnrestrictedLL_ace_0.1","UnrestrictedLL_ace_0.5","UnrestrictedLL_ace_0.9","UnrestrictedLL_ace_0.95","UnrestrictedLL_ace_0.975","UnrestrictedLL_ace_0.99","UnrestrictedLL_ace_NA"
"1","cor",5,1,1,1,100,2,2,0,6,4,"ACE",1008.348,1014.954,1021.349,1027.909,1050.727,1071.17,1076.854,1081.253,1086.254,163,1007.827,1014.433,1020.828,1027.388,1050.206,1070.649,1076.333,1080.732,1085.733,163,1021.021,1027.626,1034.021,1040.582,1063.4,1083.842,1089.526,1093.925,1098.926,163,1,1,1,1,1,1,1,1,1,163,2,2,2,2,2,2,2,2,2,163,0,0,0,0,0,0,0,0,0,163,53.336,58.368,62.78,68.482,88.897,111.722,118.29,124.655,131.289,163,6,6,6,6,6,6,6,6,6,163,0.9999,1,1,1,1,1,1,1,1,163,0,0,0,0,0,0,0,0.007,0.163,163,-499.914,-503.217,-506.414,-509.694,-521.103,-531.325,-534.167,-536.366,-538.866,163,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,163,1,1,1,1,1,1,1,1,1,163,0,0,0,0,0,0,0,0.002,0.009,163,1.015,1.016,1.017,1.018,1.023,1.03,1.033,1.035,1.039,163,-499.914,-503.217,-506.414,-509.694,-521.099,-531.311,-534.167,-536.366,-538.866,163
"2","cor",6,2,1,1,100,2,2,0,6,4,"ACE",981.279,988.677,995.354,1002.423,1026.388,1048.446,1054.542,1060.34,1065.506,162,980.758,988.156,994.833,1001.902,1025.868,1047.925,1054.021,1059.819,1064.985,162,993.952,1001.349,1008.026,1015.095,1039.061,1061.118,1067.214,1073.013,1078.179,162,1,1,1,1,1,1,1,1,1,162,2,2,2,2,2,2,2,2,2,162,0,0,0,0,0,0,0,0,0,162,74.118,79.295,85.11,91.206,113.265,137.194,144.262,150.881,158.363,162,6,6,6,6,6,6,6,6,6,162,0.9998,1,1,1,1,1,1,1,1,162,0,0,0,0,0,0,0,0.011,0.195,162,-486.379,-490.078,-493.416,-496.951,-508.934,-519.962,-523.011,-525.91,-528.493,162,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,162,1,1,1,1,1,1,1,1,1,162,0,0,0,0,0,0,0,0.003,0.013,162,1.013,1.013,1.014,1.015,1.018,1.022,1.024,1.026,1.028,162,-486.379,-490.078,-493.416,-496.951,-508.928,-519.952,-523.008,-525.91,-528.493,162
"3","cor",8,1,2,1,100,2,2,0,6,4,"ACE",955.038,965.124,972.232,979.89,1005.435,1030.425,1036.7,1042.76,1050.275,111,954.517,964.604,971.711,979.369,1004.914,1029.904,1036.179,1042.239,1049.754,111,967.711,977.797,984.905,992.562,1018.107,1043.098,1049.372,1055.433,1062.947,111,1,1,1,1,1,1,1,1,1,111,2,2,2,2,2,2,2,2,2,111,0,0,0,0,0,0,0,0,0,111,89.356,96.822,102.921,109.223,134.21,159.762,167.327,174.395,184.382,111,6,6,6,6,6,6,6,6,6,111,1,1,1,1,1,1,1,1,1,111,0,0,0,0,0,0,0,0,0.027,111,-473.259,-478.302,-481.856,-485.684,-498.457,-510.952,-514.09,-517.12,-520.877,111,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,111,1,1,1,1,1,1,1,1,1,111,0,0,0,0,0,0,0,0,0.002,111,1.011,1.012,1.012,1.013,1.015,1.019,1.02,1.021,1.023,111,-473.259,-478.302,-481.856,-485.673,-498.456,-510.952,-514.09,-517.12,-520.877,111
"4","cor",9,2,2,1,100,2,2,0,6,4,"ACE",941.795,949.744,956.076,964.167,990.968,1016.924,1023.217,1029.174,1036.798,14,941.275,949.223,955.555,963.646,990.447,1016.403,1022.697,1028.653,1036.277,14,954.468,962.417,968.748,976.839,1003.64,1029.597,1035.89,1041.846,1049.471,14,1,1,1,1,1,1,1,1,1,14,2,2,2,2,2,2,2,2,2,14,0,0,0,0,0,0,0,0,0,14,102.816,110.416,116.396,122.725,148.684,175.482,183.547,189.817,197.648,14,6,6,6,6,6,6,6,6,6,14,1,1,1,1,1,1,1,1,1,14,0,0,0,0,0,0,0,0,0,14,-466.637,-470.612,-473.777,-477.823,-491.223,-504.202,-507.348,-510.326,-514.139,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,1,1,1,1,1,1,1,1,1,14,0,0,0,0,0,0,0,0,0,14,1.01,1.011,1.011,1.012,1.014,1.017,1.017,1.018,1.02,14,-466.637,-470.612,-473.777,-477.823,-491.223,-504.202,-507.348,-510.326,-514.139,14
"5","cor",14,1,1,2,100,2,2,0,6,4,"ACE",1058.187,1065.184,1071.05,1076.461,1094.068,1109.212,1112.717,1115.863,1119.696,524,1057.666,1064.663,1070.529,1075.94,1093.548,1108.691,1112.196,1115.342,1119.175,524,1070.86,1077.856,1083.722,1089.134,1106.741,1121.885,1125.389,1128.535,1132.368,524,1,1,1,1,1,1,1,1,1,524,2,2,2,2,2,2,2,2,2,524,0,0,0,0,0,0,0,0,0,524,20.029,23.789,26.965,30.475,45.643,63.199,68.602,74.395,81.184,524,6,6,6,6,6,6,6,6,6,524,0.9808,0.9984,0.9999,1,1,1,1,1,1,524,0,0,0,0,0,0.012,0.145,0.443,1.082,524,-524.833,-528.332,-531.265,-533.97,-542.774,-550.346,-552.098,-553.671,-555.587,524,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,524,0.99,0.999,1,1,1,1,1,1,1,524,0,0,0,0,0,0.003,0.01,0.017,0.028,524,1.024,1.027,1.029,1.032,1.046,1.069,1.079,1.091,1.109,524,-524.833,-528.332,-531.177,-533.956,-542.744,-550.323,-552.034,-553.648,-555.521,524
"6","cor",15,2,1,2,100,2,2,0,6,4,"ACE",1038.801,1044.989,1050.299,1056.074,1075.801,1094.117,1098.312,1101.915,1106.713,357,1038.281,1044.469,1049.779,1055.553,1075.28,1093.596,1097.791,1101.395,1106.192,357,1051.474,1057.662,1062.972,1068.746,1088.473,1106.789,1110.984,1114.588,1119.385,357,1,1,1,1,1,1,1,1,1,357,2,2,2,2,2,2,2,2,2,357,0,0,0,0,0,0,0,0,0,357,32.939,37.736,41.347,45.595,63.87,83.577,89.356,94.594,100.84,357,6,6,6,6,6,6,6,6,6,357,0.9904,0.9995,1,1,1,1,1,1,1,357,0,0,0,0,0,0,0.073,0.293,0.85,357,-515.14,-518.234,-520.889,-523.777,-533.64,-542.798,-544.896,-546.697,-549.096,357,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,357,0.995,1,1,1,1,1,1,1,1,357,0,0,0,0,0,0.001,0.007,0.015,0.026,357,1.02,1.021,1.023,1.024,1.032,1.046,1.051,1.056,1.063,357,-515.14,-518.234,-520.887,-523.777,-533.63,-542.761,-544.878,-546.672,-548.975,357
"7","cor",17,1,2,2,100,2,2,0,6,4,"ACE",1024.933,1031.053,1036.622,1043.411,1064.759,1084.127,1089.273,1093.8,1098.07,435,1024.413,1030.532,1036.101,1042.89,1064.238,1083.606,1088.752,1093.279,1097.549,435,1037.606,1043.726,1049.294,1056.083,1077.432,1096.799,1101.945,1106.472,1110.742,435,1,1,1,1,1,1,1,1,1,435,2,2,2,2,2,2,2,2,2,435,0,0,0,0,0,0,0,0,0,435,41.582,45.852,50.328,55.488,74.935,96.235,103.001,108.598,114.689,435,6,6,6,6,6,6,6,6,6,435,0.9938,0.9996,1,1,1,1,1,1,1,435,0,0,0,0,0,0,0.045,0.269,0.72,435,-508.206,-511.266,-514.051,-517.445,-528.119,-537.803,-540.376,-542.639,-544.774,435,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,435,0.997,1,1,1,1,1,1,1,1,435,0,0,0,0,0,0,0.004,0.01,0.016,435,1.017,1.018,1.02,1.021,1.027,1.037,1.041,1.045,1.05,435,-508.206,-511.264,-514.051,-517.44,-528.089,-537.801,-540.376,-542.624,-544.769,435
"8","cor",18,2,2,2,100,2,2,0,6,4,"ACE",1008.31,1015.542,1021.242,1028.147,1050.645,1071.388,1076.533,1081.242,1086.781,137,1007.789,1015.021,1020.721,1027.626,1050.124,1070.867,1076.013,1080.721,1086.26,137,1020.982,1028.214,1033.914,1040.82,1063.318,1084.06,1089.206,1093.914,1099.453,137,1,1,1,1,1,1,1,1,1,137,2,2,2,2,2,2,2,2,2,137,0,0,0,0,0,0,0,0,0,137,52.849,58.39,63.118,68.264,89.006,111.494,118.351,124.082,131.223,137,6,6,6,6,6,6,6,6,6,137,1,1,1,1,1,1,1,1,1,137,0,0,0,0,0,0,0,0.005,0.12,137,-499.895,-503.51,-506.36,-509.813,-521.062,-531.433,-534.006,-536.361,-539.13,137,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,137,1,1,1,1,1,1,1,1,1,137,0,0,0,0,0,0,0,0.002,0.009,137,1.015,1.016,1.017,1.018,1.023,1.03,1.033,1.035,1.039,137,-499.895,-503.51,-506.36,-509.813,-521.062,-531.41,-533.984,-536.361,-539.13,137
"9","cor",23,1,1,1,250,2,2,0,6,4,"ACE",2560.741,2570.608,2580.385,2590.957,2625.343,2658.055,2667.308,2675.279,2684.661,10,2556.578,2566.446,2576.223,2586.795,2621.181,2653.893,2663.145,2671.117,2680.498,10,2573.437,2583.304,2593.081,2603.653,2638.039,2670.751,2680.004,2687.975,2697.357,10,1,1,1,1,1,1,1,1,1,10,2,2,2,2,2,2,2,2,2,10,0,0,0,0,0,0,0,0,0,10,161.341,170.563,178.662,187.949,220.671,255.05,265.608,275.333,284.947,10,6,6,6,6,6,6,6,6,6,10,1,1,1,1,1,1,1,1,1,10,0,0,0,0,0,0,0,0,0,10,-1274.289,-1279.223,-1284.111,-1289.397,-1306.59,-1322.947,-1327.573,-1331.558,-1336.249,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,1,1,1,1,1,1,1,1,1,10,0,0,0,0,0,0,0,0,0,10,1.007,1.007,1.008,1.008,1.009,1.011,1.011,1.012,1.013,10,-1274.289,-1279.223,-1284.111,-1289.397,-1306.59,-1322.947,-1327.573,-1331.558,-1336.249,10
"10","cor",24,2,1,1,250,2,2,0,6,4,"ACE",2497.476,2509.571,2518.629,2529.757,2566.365,2601.718,2611.731,2620.702,2630.371,11,2493.313,2505.409,2514.467,2525.595,2562.202,2597.556,2607.568,2616.54,2626.209,11,2510.172,2522.267,2531.325,2542.453,2579.061,2614.415,2624.427,2633.398,2643.067,11,1,1,1,1,1,1,1,1,1,11,2,2,2,2,2,2,2,2,2,11,0,0,0,0,0,0,0,0,0,11,215.463,225.318,234.251,244.268,279.631,316.192,327.385,336.418,347.327,11,6,6,6,6,6,6,6,6,6,11,1,1,1,1,1,1,1,1,1,11,0,0,0,0,0,0,0,0,0,11,-1242.657,-1248.704,-1253.234,-1258.797,-1277.101,-1294.778,-1299.784,-1304.27,-1309.104,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,1,1,1,1,1,1,1,1,1,11,0,0,0,0,0,0,0,0,0,11,1.006,1.006,1.006,1.006,1.007,1.008,1.009,1.009,1.009,11,-1242.657,-1248.704,-1253.234,-1258.797,-1277.101,-1294.778,-1299.784,-1304.27,-1309.104,11
