"","Method","id","ace_a","ace_c","ace_e","n","NGroups","NDependentVars","NIndependentVars","NContinuousLatentVars","Parameters","TrueModel","aBIC_ce_0.01","aBIC_ce_0.025","aBIC_ce_0.05","aBIC_ce_0.1","aBIC_ce_0.5","aBIC_ce_0.9","aBIC_ce_0.95","aBIC_ce_0.975","aBIC_ce_0.99","aBIC_ce_NA","AIC_ce_0.01","AIC_ce_0.025","AIC_ce_0.05","AIC_ce_0.1","AIC_ce_0.5","AIC_ce_0.9","AIC_ce_0.95","AIC_ce_0.975","AIC_ce_0.99","AIC_ce_NA","BIC_ce_0.01","BIC_ce_0.025","BIC_ce_0.05","BIC_ce_0.1","BIC_ce_0.5","BIC_ce_0.9","BIC_ce_0.95","BIC_ce_0.975","BIC_ce_0.99","BIC_ce_NA","CFI_ce_0.01","CFI_ce_0.025","CFI_ce_0.05","CFI_ce_0.1","CFI_ce_0.5","CFI_ce_0.9","CFI_ce_0.95","CFI_ce_0.975","CFI_ce_0.99","CFI_ce_NA","ChiSqBaseline_DF_ce_0.01","ChiSqBaseline_DF_ce_0.025","ChiSqBaseline_DF_ce_0.05","ChiSqBaseline_DF_ce_0.1","ChiSqBaseline_DF_ce_0.5","ChiSqBaseline_DF_ce_0.9","ChiSqBaseline_DF_ce_0.95","ChiSqBaseline_DF_ce_0.975","ChiSqBaseline_DF_ce_0.99","ChiSqBaseline_DF_ce_NA","ChiSqBaseline_PValue_ce_0.01","ChiSqBaseline_PValue_ce_0.025","ChiSqBaseline_PValue_ce_0.05","ChiSqBaseline_PValue_ce_0.1","ChiSqBaseline_PValue_ce_0.5","ChiSqBaseline_PValue_ce_0.9","ChiSqBaseline_PValue_ce_0.95","ChiSqBaseline_PValue_ce_0.975","ChiSqBaseline_PValue_ce_0.99","ChiSqBaseline_PValue_ce_NA","ChiSqBaseline_Value_ce_0.01","ChiSqBaseline_Value_ce_0.025","ChiSqBaseline_Value_ce_0.05","ChiSqBaseline_Value_ce_0.1","ChiSqBaseline_Value_ce_0.5","ChiSqBaseline_Value_ce_0.9","ChiSqBaseline_Value_ce_0.95","ChiSqBaseline_Value_ce_0.975","ChiSqBaseline_Value_ce_0.99","ChiSqBaseline_Value_ce_NA","ChiSqM_DF_ce_0.01","ChiSqM_DF_ce_0.025","ChiSqM_DF_ce_0.05","ChiSqM_DF_ce_0.1","ChiSqM_DF_ce_0.5","ChiSqM_DF_ce_0.9","ChiSqM_DF_ce_0.95","ChiSqM_DF_ce_0.975","ChiSqM_DF_ce_0.99","ChiSqM_DF_ce_NA","ChiSqM_PValue_ce_0.01","ChiSqM_PValue_ce_0.025","ChiSqM_PValue_ce_0.05","ChiSqM_PValue_ce_0.1","ChiSqM_PValue_ce_0.5","ChiSqM_PValue_ce_0.9","ChiSqM_PValue_ce_0.95","ChiSqM_PValue_ce_0.975","ChiSqM_PValue_ce_0.99","ChiSqM_PValue_ce_NA","ChiSqM_Value_ce_0.01","ChiSqM_Value_ce_0.025","ChiSqM_Value_ce_0.05","ChiSqM_Value_ce_0.1","ChiSqM_Value_ce_0.5","ChiSqM_Value_ce_0.9","ChiSqM_Value_ce_0.95","ChiSqM_Value_ce_0.975","ChiSqM_Value_ce_0.99","ChiSqM_Value_ce_NA","LL_ce_0.01","LL_ce_0.025","LL_ce_0.05","LL_ce_0.1","LL_ce_0.5","LL_ce_0.9","LL_ce_0.95","LL_ce_0.975","LL_ce_0.99","LL_ce_NA","RMSEA_90CI_LB_ce_0.01","RMSEA_90CI_LB_ce_0.025","RMSEA_90CI_LB_ce_0.05","RMSEA_90CI_LB_ce_0.1","RMSEA_90CI_LB_ce_0.5","RMSEA_90CI_LB_ce_0.9","RMSEA_90CI_LB_ce_0.95","RMSEA_90CI_LB_ce_0.975","RMSEA_90CI_LB_ce_0.99","RMSEA_90CI_LB_ce_NA","RMSEA_90CI_UB_ce_0.01","RMSEA_90CI_UB_ce_0.025","RMSEA_90CI_UB_ce_0.05","RMSEA_90CI_UB_ce_0.1","RMSEA_90CI_UB_ce_0.5","RMSEA_90CI_UB_ce_0.9","RMSEA_90CI_UB_ce_0.95","RMSEA_90CI_UB_ce_0.975","RMSEA_90CI_UB_ce_0.99","RMSEA_90CI_UB_ce_NA","RMSEA_Estimate_ce_0.01","RMSEA_Estimate_ce_0.025","RMSEA_Estimate_ce_0.05","RMSEA_Estimate_ce_0.1","RMSEA_Estimate_ce_0.5","RMSEA_Estimate_ce_0.9","RMSEA_Estimate_ce_0.95","RMSEA_Estimate_ce_0.975","RMSEA_Estimate_ce_0.99","RMSEA_Estimate_ce_NA","RMSEA_pLT05_ce_0.01","RMSEA_pLT05_ce_0.025","RMSEA_pLT05_ce_0.05","RMSEA_pLT05_ce_0.1","RMSEA_pLT05_ce_0.5","RMSEA_pLT05_ce_0.9","RMSEA_pLT05_ce_0.95","RMSEA_pLT05_ce_0.975","RMSEA_pLT05_ce_0.99","RMSEA_pLT05_ce_NA","SRMR_ce_0.01","SRMR_ce_0.025","SRMR_ce_0.05","SRMR_ce_0.1","SRMR_ce_0.5","SRMR_ce_0.9","SRMR_ce_0.95","SRMR_ce_0.975","SRMR_ce_0.99","SRMR_ce_NA","TLI_ce_0.01","TLI_ce_0.025","TLI_ce_0.05","TLI_ce_0.1","TLI_ce_0.5","TLI_ce_0.9","TLI_ce_0.95","TLI_ce_0.975","TLI_ce_0.99","TLI_ce_NA","UnrestrictedLL_ce_0.01","UnrestrictedLL_ce_0.025","UnrestrictedLL_ce_0.05","UnrestrictedLL_ce_0.1","UnrestrictedLL_ce_0.5","UnrestrictedLL_ce_0.9","UnrestrictedLL_ce_0.95","UnrestrictedLL_ce_0.975","UnrestrictedLL_ce_0.99","UnrestrictedLL_ce_NA"
"1","cor",1,0,0,1,100,2,2,0,6,4,"E",1131.78,1133.238,1134.501,1135.502,1137.432,1137.521,1137.521,1137.521,1137.521,985,1131.39,1132.847,1134.11,1135.112,1137.041,1137.131,1137.131,1137.131,1137.131,985,1141.285,1142.742,1144.005,1145.007,1146.936,1147.026,1147.026,1147.026,1147.026,985,0.92,1,1,1,1,1,1,1,1,985,2,2,2,2,2,2,2,2,2,985,0.0112,0.0291,0.0582,0.1109,0.518,0.908,0.9545,0.9763,0.9909,985,0.018,0.048,0.093,0.193,1.316,4.399,5.679,7.058,8.972,985,7,7,7,7,7,7,7,7,7,985,0.385,0.5696,0.7172,0.8498,0.9981,1,1,1,1,985,0,0.002,0.009,0.029,0.732,3.36,4.529,5.726,7.356,985,-562.695,-563.424,-564.055,-564.556,-565.521,-565.565,-565.565,-565.565,-565.565,985,0,0,0,0,0,0,0,0,0,985,0,0,0,0,0,0.068,0.092,0.109,0.126,985,0,0,0,0,0,0,0,0,0.023,985,0.551,0.715,0.827,0.916,0.999,1,1,1,1,985,0.001,0.001,0.003,0.005,0.027,0.057,0.067,0.075,0.085,985,0.977,1,1,1,1,3.159,6.175,11.787,24.103,985,-561.074,-562.029,-562.721,-563.366,-564.908,-565.469,-565.519,-565.541,-565.556,985
"2","cor",2,1,0,1,100,2,2,0,6,4,"AE",1076.924,1082.591,1087.022,1091.852,1107.223,1119.449,1122.53,1125.145,1127.375,0,1076.533,1082.2,1086.631,1091.462,1106.832,1119.059,1122.139,1124.754,1126.984,0,1086.428,1092.095,1096.526,1101.357,1116.727,1128.954,1132.034,1134.649,1136.879,0,0.638,0.721,0.779,0.848,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2e-04,0.001,0,13.767,16.716,19.87,23.104,36.62,52.948,57.942,62.695,68.432,0,7,7,7,7,7,7,7,7,7,0,0.0016,0.0086,0.027,0.0739,0.6765,0.9984,1,1,1,0,0.014,0.07,0.226,0.692,4.864,12.902,15.787,18.875,23.041,0,-535.267,-538.1,-540.315,-542.731,-550.416,-556.529,-558.07,-559.377,-560.492,0,0,0,0,0,0,0,0.036,0.061,0.086,0,0,0,0,0,0.097,0.169,0.187,0.203,0.222,0,0,0,0,0,0,0.092,0.112,0.13,0.151,0,0.009,0.032,0.078,0.168,0.798,0.999,1,1,1,0,0.003,0.007,0.012,0.021,0.055,0.09,0.101,0.109,0.121,0,0.897,0.92,0.937,0.957,1.018,1.065,1.082,1.103,1.132,0,-531.302,-534.192,-536.578,-539.089,-547.252,-554.013,-555.627,-557.195,-558.652,0
"3","cor",3,2,0,1,100,2,2,0,6,4,"AE",1042.153,1049.307,1054.98,1061.052,1080,1096.655,1100.556,1104.613,1108.416,0,1041.762,1048.916,1054.59,1060.662,1079.609,1096.264,1100.165,1104.222,1108.025,0,1051.657,1058.811,1064.485,1070.557,1089.504,1106.159,1110.06,1114.117,1117.92,0,0.622,0.669,0.709,0.758,0.914,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,41.148,44.75,48.754,53.27,71.86,91.956,98.054,103.342,110.037,0,7,7,7,7,7,7,7,7,7,0,0,0,1e-04,7e-04,0.074,0.7015,0.8831,0.9573,0.9966,0,0.872,2.028,3.018,4.652,12.922,25.128,28.971,32.762,37.877,0,-517.881,-521.458,-524.295,-527.331,-536.804,-545.132,-547.083,-549.111,-551.012,0,0,0,0,0,0,0.096,0.113,0.129,0.147,0,0,0,0.059,0.094,0.17,0.231,0.246,0.26,0.278,0,0,0,0,0,0.092,0.161,0.177,0.192,0.21,0,0,0,0.001,0.004,0.168,0.816,0.936,0.979,0.998,0,0.019,0.028,0.035,0.044,0.074,0.105,0.114,0.121,0.131,0,0.892,0.905,0.917,0.931,0.976,1.011,1.019,1.025,1.031,0,-510.454,-513.775,-516.516,-519.584,-529.634,-538.928,-541.18,-543.18,-544.957,0
"4","cor",5,1,1,1,100,2,2,0,6,4,"ACE",1012.357,1018.696,1024.798,1032.022,1054.293,1074.707,1079.965,1083.802,1089.206,0,1011.966,1018.305,1024.407,1031.631,1053.902,1074.317,1079.574,1083.411,1088.816,0,1021.861,1028.2,1034.302,1041.526,1063.797,1084.212,1089.469,1093.306,1098.711,0,0.832,0.879,0.904,0.939,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,53.309,58.263,62.744,68.346,88.731,111.662,118.303,124.616,131.289,0,7,7,7,7,7,7,7,7,7,0,0.0017,0.0102,0.0276,0.0856,0.7551,0.9998,1,1,1,0,0.006,0.03,0.117,0.389,4.211,12.48,15.731,18.397,22.862,0,-502.983,-506.153,-509.203,-512.816,-523.951,-534.158,-536.787,-538.705,-541.408,0,0,0,0,0,0,0,0.035,0.058,0.085,0,0,0,0,0,0.086,0.167,0.186,0.2,0.221,0,0,0,0,0,0,0.088,0.112,0.128,0.151,0,0.009,0.037,0.08,0.187,0.854,1,1,1,1,0,0.001,0.003,0.006,0.011,0.036,0.064,0.072,0.078,0.089,0,0.952,0.965,0.973,0.982,1.009,1.023,1.026,1.029,1.033,0,-499.914,-503.238,-506.399,-509.723,-521.197,-531.386,-534.181,-536.397,-538.902,0
"5","cor",6,2,1,1,100,2,2,0,6,4,"ACE",993.066,1001.059,1007.255,1014.712,1038.578,1060.811,1066.4,1070.994,1076.577,0,992.675,1000.668,1006.864,1014.321,1038.187,1060.42,1066.009,1070.603,1076.186,0,1002.57,1010.563,1016.759,1024.216,1048.082,1070.315,1075.904,1080.498,1086.081,0,0.743,0.78,0.803,0.842,0.948,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,73.96,78.949,84.293,90.756,112.947,136.863,143.856,150.578,157.894,0,7,7,7,7,7,7,7,7,7,0,0,0,1e-04,8e-04,0.0801,0.7463,0.912,0.9802,0.9974,0,0.781,1.536,2.675,4.285,12.688,24.887,29.146,33.203,37.087,0,-493.338,-497.334,-500.432,-504.161,-516.094,-527.21,-530.005,-532.301,-535.093,0,0,0,0,0,0,0.095,0.114,0.13,0.145,0,0,0,0.047,0.088,0.168,0.23,0.247,0.262,0.275,0,0,0,0,0,0.09,0.16,0.178,0.193,0.207,0,0,0,0.001,0.005,0.178,0.848,0.953,0.99,0.999,0,0.014,0.019,0.025,0.032,0.056,0.082,0.09,0.095,0.103,0,0.927,0.937,0.944,0.955,0.985,1.007,1.012,1.015,1.018,0,-486.413,-490.246,-493.625,-497.118,-509.091,-520.176,-523.417,-526.073,-528.569,0
"6","cor",8,1,2,1,100,2,2,0,6,4,"ACE",960.042,968.41,975.51,983.099,1009.494,1033.762,1040.1,1046.654,1053.274,0,959.651,968.019,975.12,982.708,1009.103,1033.372,1039.71,1046.264,1052.883,0,969.546,977.914,985.015,992.603,1018.998,1043.266,1049.605,1056.159,1062.778,0,0.884,0.911,0.931,0.955,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,89.046,96.735,102.758,109.142,134.143,159.704,167.047,174.395,184.382,0,7,7,7,7,7,7,7,7,7,0,0.0021,0.0078,0.0229,0.0721,0.7319,0.9998,1,1,1,0,0.003,0.024,0.101,0.375,4.405,12.99,16.235,19.104,22.458,0,-476.826,-481.01,-484.56,-488.354,-501.552,-513.686,-516.855,-520.132,-523.442,0,0,0,0,0,0,0,0.04,0.063,0.082,0,0,0,0,0,0.09,0.17,0.189,0.204,0.22,0,0,0,0,0,0,0.093,0.115,0.131,0.149,0,0.01,0.03,0.069,0.165,0.838,1,1,1,1,0,0.001,0.002,0.004,0.008,0.028,0.05,0.056,0.062,0.069,0,0.967,0.974,0.98,0.987,1.006,1.015,1.017,1.018,1.02,0,-473.259,-478.302,-481.994,-485.688,-498.487,-510.985,-514.18,-517.195,-521.017,0
"7","cor",9,2,2,1,100,2,2,0,6,4,"ACE",952.813,960.926,968.491,975.915,1002.877,1028.273,1035.458,1041.355,1047.421,0,952.422,960.535,968.1,975.524,1002.486,1027.883,1035.067,1040.964,1047.03,0,962.317,970.43,977.995,985.419,1012.381,1037.778,1044.962,1050.859,1056.925,0,0.786,0.817,0.846,0.877,0.962,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,102.816,110.396,116.25,122.664,148.633,175.467,183.527,189.817,197.648,0,7,7,7,7,7,7,7,7,7,0,0,0,1e-04,6e-04,0.088,0.8069,0.9431,0.9894,0.9996,0,0.451,1.241,2.27,3.76,12.406,25.536,30.299,34.734,39.594,0,-473.211,-477.268,-481.05,-484.762,-498.243,-510.941,-514.533,-517.482,-520.515,0,0,0,0,0,0,0.098,0.119,0.136,0.153,0,0,0,0.022,0.078,0.166,0.233,0.251,0.267,0.283,0,0,0,0,0,0.088,0.163,0.182,0.199,0.216,0,0,0,0.001,0.004,0.191,0.889,0.971,0.995,1,0,0.008,0.014,0.018,0.024,0.045,0.067,0.074,0.08,0.088,0,0.939,0.948,0.956,0.965,0.989,1.007,1.01,1.012,1.014,0,-466.637,-470.612,-473.792,-477.824,-491.244,-504.233,-507.416,-510.357,-514.139,0
"8","cor",10,0,0,2,100,2,2,0,6,4,"E",1131.372,1133.126,1134.21,1135.409,1137.462,1137.521,1137.521,1137.521,1137.521,1022,1130.981,1132.735,1133.819,1135.019,1137.071,1137.131,1137.131,1137.131,1137.131,1022,1140.876,1142.63,1143.714,1144.913,1146.966,1147.026,1147.026,1147.026,1147.026,1022,0.968,1,1,1,1,1,1,1,1,1022,2,2,2,2,2,2,2,2,2,1022,0.0098,0.0271,0.0608,0.1058,0.5246,0.9208,0.9607,0.9818,0.9947,1022,0.01,0.037,0.079,0.165,1.29,4.485,5.596,7.181,9.196,1022,7,7,7,7,7,7,7,7,7,1022,0.4109,0.6023,0.7195,0.8469,0.9984,1,1,1,1,1022,0,0.002,0.008,0.031,0.693,3.381,4.51,5.442,7.168,1022,-562.491,-563.368,-563.909,-564.509,-565.535,-565.565,-565.565,-565.565,-565.565,1022,0,0,0,0,0,0,0,0,0,1022,0,0,0,0,0,0.069,0.091,0.105,0.125,1022,0,0,0,0,0,0,0,0,0.015,1022,0.576,0.741,0.829,0.914,0.999,1,1,1,1,1022,0.001,0.001,0.003,0.005,0.026,0.058,0.066,0.073,0.083,1022,0.991,1,1,1,1,2.906,5.259,11.074,25.77,1022,-560.945,-561.957,-562.766,-563.319,-564.92,-565.483,-565.525,-565.547,-565.56,1022
"9","cor",11,1,0,2,100,2,2,0,6,4,"AE",1102.66,1107.065,1110.416,1113.715,1124.606,1132.209,1133.741,1134.769,1135.903,0,1102.27,1106.675,1110.026,1113.324,1124.216,1131.819,1133.35,1134.378,1135.512,0,1112.164,1116.57,1119.921,1123.219,1134.11,1141.714,1143.245,1144.273,1145.407,0,0.693,0.792,0.887,0.997,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,4e-04,0.0258,0.0611,0.1183,0.2261,0,2.964,4.266,5.585,7.313,15.776,26.993,30.868,34.63,39.033,0,7,7,7,7,7,7,7,7,7,0,0.0535,0.134,0.2308,0.422,0.9698,1,1,1,1,0,0.001,0.005,0.021,0.074,1.806,7.049,9.313,11.094,13.818,0,-548.135,-550.337,-552.013,-553.662,-559.108,-562.909,-563.675,-564.189,-564.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0.144,0.157,0.175,0,0,0,0,0,0,0.008,0.057,0.076,0.099,0,0.132,0.26,0.385,0.586,0.985,1,1,1,1,0,0.001,0.002,0.004,0.008,0.038,0.075,0.086,0.095,0.105,0,0.912,0.941,0.968,0.999,1.1,1.306,1.462,1.691,2.287,0,-546.039,-548.243,-550.131,-552.065,-557.676,-561.908,-562.771,-563.431,-564.079,0
"10","cor",12,2,0,2,100,2,2,0,6,4,"AE",1077.543,1083.301,1087.047,1091.632,1107.273,1119.29,1122.255,1124.341,1127.237,0,1077.152,1082.91,1086.656,1091.241,1106.883,1118.899,1121.864,1123.95,1126.847,0,1087.047,1092.805,1096.551,1101.136,1116.778,1128.794,1131.759,1133.845,1136.742,0,0.653,0.723,0.783,0.854,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1e-04,2e-04,7e-04,0,14.397,17.094,19.767,23.292,36.409,52.653,57.631,62.251,66.626,0,7,7,7,7,7,7,7,7,7,0,0.0025,0.0108,0.0281,0.0769,0.6627,0.9978,0.9999,1,1,0,0.014,0.084,0.282,0.764,4.975,12.805,15.672,18.195,22.072,0,-535.576,-538.455,-540.328,-542.621,-550.441,-556.45,-557.932,-558.975,-560.423,0,0,0,0,0,0,0,0.034,0.056,0.08,0,0,0,0,0,0.099,0.169,0.186,0.199,0.218,0,0,0,0,0,0,0.091,0.111,0.126,0.147,0,0.012,0.038,0.081,0.173,0.788,0.999,1,1,1,0,0.003,0.007,0.013,0.022,0.056,0.09,0.1,0.108,0.118,0,0.901,0.921,0.938,0.958,1.017,1.065,1.08,1.099,1.125,0,-532.081,-534.423,-536.743,-539.231,-547.358,-553.917,-555.68,-556.983,-558.339,0
