"","Method","id","ace_a","ace_c","ace_e","n","NGroups","NDependentVars","NIndependentVars","NContinuousLatentVars","Parameters","TrueModel","aBIC_ace_0.01","aBIC_ace_0.025","aBIC_ace_0.05","aBIC_ace_0.1","aBIC_ace_0.5","aBIC_ace_0.9","aBIC_ace_0.95","aBIC_ace_0.975","aBIC_ace_0.99","aBIC_ace_NA","AIC_ace_0.01","AIC_ace_0.025","AIC_ace_0.05","AIC_ace_0.1","AIC_ace_0.5","AIC_ace_0.9","AIC_ace_0.95","AIC_ace_0.975","AIC_ace_0.99","AIC_ace_NA","BIC_ace_0.01","BIC_ace_0.025","BIC_ace_0.05","BIC_ace_0.1","BIC_ace_0.5","BIC_ace_0.9","BIC_ace_0.95","BIC_ace_0.975","BIC_ace_0.99","BIC_ace_NA","CFI_ace_0.01","CFI_ace_0.025","CFI_ace_0.05","CFI_ace_0.1","CFI_ace_0.5","CFI_ace_0.9","CFI_ace_0.95","CFI_ace_0.975","CFI_ace_0.99","CFI_ace_NA","ChiSqBaseline_DF_ace_0.01","ChiSqBaseline_DF_ace_0.025","ChiSqBaseline_DF_ace_0.05","ChiSqBaseline_DF_ace_0.1","ChiSqBaseline_DF_ace_0.5","ChiSqBaseline_DF_ace_0.9","ChiSqBaseline_DF_ace_0.95","ChiSqBaseline_DF_ace_0.975","ChiSqBaseline_DF_ace_0.99","ChiSqBaseline_DF_ace_NA","ChiSqBaseline_PValue_ace_0.01","ChiSqBaseline_PValue_ace_0.025","ChiSqBaseline_PValue_ace_0.05","ChiSqBaseline_PValue_ace_0.1","ChiSqBaseline_PValue_ace_0.5","ChiSqBaseline_PValue_ace_0.9","ChiSqBaseline_PValue_ace_0.95","ChiSqBaseline_PValue_ace_0.975","ChiSqBaseline_PValue_ace_0.99","ChiSqBaseline_PValue_ace_NA","ChiSqBaseline_Value_ace_0.01","ChiSqBaseline_Value_ace_0.025","ChiSqBaseline_Value_ace_0.05","ChiSqBaseline_Value_ace_0.1","ChiSqBaseline_Value_ace_0.5","ChiSqBaseline_Value_ace_0.9","ChiSqBaseline_Value_ace_0.95","ChiSqBaseline_Value_ace_0.975","ChiSqBaseline_Value_ace_0.99","ChiSqBaseline_Value_ace_NA","ChiSqM_DF_ace_0.01","ChiSqM_DF_ace_0.025","ChiSqM_DF_ace_0.05","ChiSqM_DF_ace_0.1","ChiSqM_DF_ace_0.5","ChiSqM_DF_ace_0.9","ChiSqM_DF_ace_0.95","ChiSqM_DF_ace_0.975","ChiSqM_DF_ace_0.99","ChiSqM_DF_ace_NA","ChiSqM_PValue_ace_0.01","ChiSqM_PValue_ace_0.025","ChiSqM_PValue_ace_0.05","ChiSqM_PValue_ace_0.1","ChiSqM_PValue_ace_0.5","ChiSqM_PValue_ace_0.9","ChiSqM_PValue_ace_0.95","ChiSqM_PValue_ace_0.975","ChiSqM_PValue_ace_0.99","ChiSqM_PValue_ace_NA","ChiSqM_Value_ace_0.01","ChiSqM_Value_ace_0.025","ChiSqM_Value_ace_0.05","ChiSqM_Value_ace_0.1","ChiSqM_Value_ace_0.5","ChiSqM_Value_ace_0.9","ChiSqM_Value_ace_0.95","ChiSqM_Value_ace_0.975","ChiSqM_Value_ace_0.99","ChiSqM_Value_ace_NA","LL_ace_0.01","LL_ace_0.025","LL_ace_0.05","LL_ace_0.1","LL_ace_0.5","LL_ace_0.9","LL_ace_0.95","LL_ace_0.975","LL_ace_0.99","LL_ace_NA","RMSEA_90CI_LB_ace_0.01","RMSEA_90CI_LB_ace_0.025","RMSEA_90CI_LB_ace_0.05","RMSEA_90CI_LB_ace_0.1","RMSEA_90CI_LB_ace_0.5","RMSEA_90CI_LB_ace_0.9","RMSEA_90CI_LB_ace_0.95","RMSEA_90CI_LB_ace_0.975","RMSEA_90CI_LB_ace_0.99","RMSEA_90CI_LB_ace_NA","RMSEA_90CI_UB_ace_0.01","RMSEA_90CI_UB_ace_0.025","RMSEA_90CI_UB_ace_0.05","RMSEA_90CI_UB_ace_0.1","RMSEA_90CI_UB_ace_0.5","RMSEA_90CI_UB_ace_0.9","RMSEA_90CI_UB_ace_0.95","RMSEA_90CI_UB_ace_0.975","RMSEA_90CI_UB_ace_0.99","RMSEA_90CI_UB_ace_NA","RMSEA_Estimate_ace_0.01","RMSEA_Estimate_ace_0.025","RMSEA_Estimate_ace_0.05","RMSEA_Estimate_ace_0.1","RMSEA_Estimate_ace_0.5","RMSEA_Estimate_ace_0.9","RMSEA_Estimate_ace_0.95","RMSEA_Estimate_ace_0.975","RMSEA_Estimate_ace_0.99","RMSEA_Estimate_ace_NA","RMSEA_pLT05_ace_0.01","RMSEA_pLT05_ace_0.025","RMSEA_pLT05_ace_0.05","RMSEA_pLT05_ace_0.1","RMSEA_pLT05_ace_0.5","RMSEA_pLT05_ace_0.9","RMSEA_pLT05_ace_0.95","RMSEA_pLT05_ace_0.975","RMSEA_pLT05_ace_0.99","RMSEA_pLT05_ace_NA","SRMR_ace_0.01","SRMR_ace_0.025","SRMR_ace_0.05","SRMR_ace_0.1","SRMR_ace_0.5","SRMR_ace_0.9","SRMR_ace_0.95","SRMR_ace_0.975","SRMR_ace_0.99","SRMR_ace_NA","TLI_ace_0.01","TLI_ace_0.025","TLI_ace_0.05","TLI_ace_0.1","TLI_ace_0.5","TLI_ace_0.9","TLI_ace_0.95","TLI_ace_0.975","TLI_ace_0.99","TLI_ace_NA","UnrestrictedLL_ace_0.01","UnrestrictedLL_ace_0.025","UnrestrictedLL_ace_0.05","UnrestrictedLL_ace_0.1","UnrestrictedLL_ace_0.5","UnrestrictedLL_ace_0.9","UnrestrictedLL_ace_0.95","UnrestrictedLL_ace_0.975","UnrestrictedLL_ace_0.99","UnrestrictedLL_ace_NA"
"1","cor",1,0,0,1,100,2,2,0,6,4,"E",1133.053,1134.658,1135.775,1136.969,1139.408,1139.652,1139.652,1139.652,1139.652,2751,1132.532,1134.137,1135.255,1136.448,1138.888,1139.131,1139.131,1139.131,1139.131,2751,1145.725,1147.331,1148.448,1149.641,1152.081,1152.324,1152.324,1152.324,1152.324,2751,1,1,1,1,1,1,1,1,1,2751,2,2,2,2,2,2,2,2,2,2751,0.0182,0.0504,0.0892,0.1592,0.5748,0.9397,0.9683,0.9854,0.9943,2751,0.011,0.029,0.064,0.124,1.105,3.673,4.828,5.966,7.993,2751,6,6,6,6,6,6,6,6,6,2751,0.5216,0.694,0.7961,0.8985,0.9998,1,1,1,1,2751,0,0,0,0,0.223,2.207,3.097,3.866,5.152,2751,-562.266,-563.069,-563.627,-564.224,-565.444,-565.565,-565.565,-565.565,-565.565,2751,0,0,0,0,0,0,0,0,0,2751,0,0,0,0,0,0.056,0.084,0.1,0.119,2751,0,0,0,0,0,0,0,0,0,2751,0.664,0.802,0.875,0.942,1,1,1,1,1,2751,0,0,0,0,0.015,0.047,0.055,0.062,0.071,2751,1,1,1,1,1,3.285,6.717,12.471,28.405,2751,-561.56,-562.577,-563.148,-563.728,-565.012,-565.503,-565.533,-565.551,-565.56,2751
"2","cor",2,1,0,1,100,2,2,0,6,4,"AE",1070.77,1076.905,1081.806,1086.655,1103.099,1116.854,1120.045,1122.944,1126.013,1241,1070.249,1076.384,1081.285,1086.135,1102.578,1116.333,1119.525,1122.423,1125.492,1241,1083.442,1089.578,1094.478,1099.328,1115.771,1129.526,1132.718,1135.616,1138.686,1241,1,1,1,1,1,1,1,1,1,1241,2,2,2,2,2,2,2,2,2,1241,0,0,0,0,0,0,0,2e-04,9e-04,1241,13.981,17.195,19.998,23.141,36.791,53.154,58.218,63.168,68.856,1241,6,6,6,6,6,6,6,6,6,1241,0.7632,0.8586,0.9531,0.9953,1,1,1,1,1,1241,0,0,0,0,0,0.649,1.583,2.576,3.335,1241,-531.125,-534.192,-536.643,-539.067,-547.289,-554.166,-555.762,-557.212,-558.746,1241,0,0,0,0,0,0,0,0,0,1241,0,0,0,0,0,0,0,0.069,0.089,1241,0,0,0,0,0,0,0,0,0,1241,0.852,0.917,0.975,0.998,1,1,1,1,1,1241,0,0,0,0,0,0.023,0.037,0.047,0.053,1241,1.022,1.029,1.033,1.037,1.055,1.091,1.108,1.127,1.165,1241,-531.125,-533.975,-536.447,-538.988,-547.17,-553.99,-555.56,-556.844,-558.565,1241
"3","cor",3,2,0,1,100,2,2,0,6,4,"AE",1028.885,1035.52,1041.194,1046.803,1067.611,1086.334,1091.088,1095.365,1098.071,1344,1028.364,1034.999,1040.673,1046.282,1067.09,1085.813,1090.567,1094.844,1097.55,1344,1041.557,1048.192,1053.866,1059.475,1080.283,1099.006,1103.76,1108.037,1110.743,1344,1,1,1,1,1,1,1,1,1,1344,2,2,2,2,2,2,2,2,2,1344,0,0,0,0,0,0,0,0,0,1344,41.78,44.712,48.944,53.532,72.198,92.837,98.55,104.438,110.606,1344,6,6,6,6,6,6,6,6,6,1344,0.7797,0.9087,0.9701,0.9963,1,1,1,1,1,1344,0,0,0,0,0,0.605,1.309,2.104,3.163,1344,-510.182,-513.499,-516.336,-519.141,-529.545,-538.907,-541.284,-543.422,-544.775,1344,0,0,0,0,0,0,0,0,0,1344,0,0,0,0,0,0,0,0.051,0.085,1344,0,0,0,0,0,0,0,0,0,1344,0.864,0.948,0.984,0.998,1,1,1,1,1,1344,0,0,0,0,0,0.022,0.033,0.042,0.052,1344,1.013,1.017,1.019,1.021,1.028,1.038,1.042,1.046,1.049,1344,-510.182,-513.344,-516.278,-519.14,-529.466,-538.789,-541.089,-543.206,-544.656,1344
"4","cor",4,0,1,1,100,2,2,0,6,4,"CE",1044.12,1050.625,1055.406,1061.544,1081.378,1099.072,1103.558,1106.797,1111.022,1499,1043.599,1050.104,1054.886,1061.023,1080.858,1098.551,1103.037,1106.276,1110.501,1499,1056.793,1063.297,1068.079,1074.216,1094.051,1111.744,1116.23,1119.469,1123.694,1499,1,1,1,1,1,1,1,1,1,1499,2,2,2,2,2,2,2,2,2,1499,0,0,0,0,0,0,0,0,0,1499,28.888,32.901,36.226,40.887,58.476,78.399,84.371,89.148,95.531,1499,6,6,6,6,6,6,6,6,6,1499,0.5873,0.8302,0.9493,0.9971,1,1,1,1,1,1499,0,0,0,0,0,0.548,1.638,2.807,4.602,1499,-517.8,-521.052,-523.443,-526.511,-536.429,-545.276,-547.519,-549.138,-551.25,1499,0,0,0,0,0,0,0,0,0,1499,0,0,0,0,0,0,0.004,0.076,0.112,1499,0,0,0,0,0,0,0,0,0,1499,0.719,0.898,0.972,0.999,1,1,1,1,1,1499,0,0,0,0,0,0.016,0.027,0.035,0.047,1499,1.009,1.017,1.021,1.024,1.035,1.051,1.058,1.063,1.071,1499,-517.798,-520.99,-523.361,-526.36,-536.324,-545.11,-547.425,-549.087,-551.044,1499
"5","cor",7,0,2,1,100,2,2,0,6,4,"CE",974.878,982.261,987.849,995.504,1020.771,1045.184,1051.965,1057.566,1062.975,1755,974.357,981.74,987.328,994.983,1020.25,1044.664,1051.444,1057.045,1062.454,1755,987.55,994.934,1000.522,1008.177,1033.443,1057.857,1064.638,1070.238,1075.648,1755,1,1,1,1,1,1,1,1,1,1755,2,2,2,2,2,2,2,2,2,1755,0,0,0,0,0,0,0,0,0,1755,76.804,82.099,88.013,94.751,119.135,144.16,152.04,157.62,165.372,1755,6,6,6,6,6,6,6,6,6,1755,0.4698,0.8193,0.9858,0.9992,1,1,1,1,1,1755,0,0,0,0,0,0.345,0.995,2.867,5.303,1755,-483.178,-486.87,-489.664,-493.492,-506.125,-518.332,-521.722,-524.523,-527.227,1755,0,0,0,0,0,0,0,0,0,1755,0,0,0,0,0,0,0,0.078,0.121,1755,0,0,0,0,0,0,0,0,0,1755,0.618,0.891,0.993,1,1,1,1,1,1,1755,0,0,0,0,0,0.008,0.015,0.025,0.035,1755,1.001,1.009,1.012,1.013,1.017,1.021,1.023,1.025,1.026,1755,-482.878,-486.75,-489.51,-493.451,-505.982,-518.127,-521.528,-524.403,-527.143,1755
"6","cor",10,0,0,2,100,2,2,0,6,4,"E",1133.405,1134.393,1135.534,1136.833,1139.452,1139.652,1139.652,1139.652,1139.652,2790,1132.884,1133.872,1135.014,1136.312,1138.931,1139.131,1139.131,1139.131,1139.131,2790,1146.077,1147.065,1148.207,1149.505,1152.125,1152.324,1152.324,1152.324,1152.324,2790,1,1,1,1,1,1,1,1,1,2790,2,2,2,2,2,2,2,2,2,2790,0.0174,0.051,0.0846,0.1442,0.6029,0.946,0.9774,0.9903,0.997,2790,0.006,0.017,0.045,0.111,1.011,3.861,4.935,5.921,8.035,2790,6,6,6,6,6,6,6,6,6,2790,0.5547,0.6959,0.8173,0.9047,0.9998,1,1,1,1,2790,0,0,0,0,0.208,2.136,2.929,3.842,4.895,2790,-562.442,-562.936,-563.507,-564.156,-565.466,-565.565,-565.565,-565.565,-565.565,2790,0,0,0,0,0,0,0,0,0,2790,0,0,0,0,0,0.053,0.08,0.099,0.116,2790,0,0,0,0,0,0,0,0,0,2790,0.692,0.804,0.89,0.946,1,1,1,1,1,2790,0,0,0,0,0.014,0.046,0.054,0.062,0.069,2790,1,1,1,1,1,3.119,6.015,11.402,26.601,2790,-561.516,-562.59,-563.095,-563.629,-565.059,-565.51,-565.542,-565.556,-565.562,2790
"7","cor",11,1,0,2,100,2,2,0,6,4,"AE",1100.798,1105.006,1108.995,1112.873,1124.004,1132.869,1134.558,1135.773,1136.94,1467,1100.277,1104.485,1108.474,1112.352,1123.483,1132.348,1134.037,1135.252,1136.419,1467,1113.471,1117.678,1121.667,1125.545,1136.676,1145.541,1147.231,1148.446,1149.613,1467,1,1,1,1,1,1,1,1,1,1467,2,2,2,2,2,2,2,2,2,1467,0,0,0,0,4e-04,0.0298,0.0677,0.1298,0.2348,1467,2.879,4.076,5.372,7.023,15.839,27.11,30.657,34.802,39.053,1467,6,6,6,6,6,6,6,6,6,1467,0.7253,0.8249,0.9371,0.994,1,1,1,1,1,1467,0,0,0,0,0,0.722,1.778,2.868,3.608,1467,-546.139,-548.243,-550.237,-552.176,-557.741,-562.174,-563.019,-563.626,-564.21,1467,0,0,0,0,0,0,0,0,0,1467,0,0,0,0,0,0,0.029,0.078,0.095,1467,0,0,0,0,0,0,0,0,0,1467,0.825,0.895,0.965,0.997,1,1,1,1,1,1467,0,0,0,0,0,0.025,0.04,0.051,0.057,1467,1.036,1.05,1.059,1.072,1.138,1.376,1.547,1.836,2.71,1467,-546.025,-548.159,-550.211,-552.008,-557.639,-562.052,-562.873,-563.524,-564.116,1467
"8","cor",12,2,0,2,100,2,2,0,6,4,"AE",1072.237,1077.278,1081.968,1086.914,1103.431,1116.627,1119.769,1122.168,1125.358,1265,1071.716,1076.757,1081.447,1086.393,1102.911,1116.106,1119.249,1121.647,1124.837,1265,1084.91,1089.95,1094.64,1099.587,1116.104,1129.3,1132.442,1134.841,1138.03,1265,1,1,1,1,1,1,1,1,1,1265,2,2,2,2,2,2,2,2,2,1265,0,0,0,0,0,0,0,1e-04,7e-04,1265,14.522,17.657,20.304,23.343,36.414,52.86,57.688,62.374,67.254,1265,6,6,6,6,6,6,6,6,6,1265,0.7701,0.8606,0.9543,0.9937,1,1,1,1,1,1265,0,0,0,0,0,0.737,1.575,2.565,3.302,1265,-531.858,-534.379,-536.724,-539.197,-547.455,-554.053,-555.624,-556.824,-558.418,1265,0,0,0,0,0,0,0,0,0,1265,0,0,0,0,0,0,0,0.069,0.088,1265,0,0,0,0,0,0,0,0,0,1265,0.857,0.918,0.975,0.997,1,1,1,1,1,1265,0,0,0,0,0,0.025,0.036,0.047,0.053,1265,1.024,1.029,1.033,1.037,1.056,1.091,1.107,1.124,1.156,1265,-531.858,-534.334,-536.721,-539.136,-547.358,-553.894,-555.412,-556.736,-558.272,1265
"9","cor",13,0,1,2,100,2,2,0,6,4,"CE",1088.551,1093.807,1097.875,1102.016,1115.006,1125.809,1128.477,1130.345,1132.415,1293,1088.03,1093.287,1097.354,1101.495,1114.485,1125.288,1127.956,1129.825,1131.894,1293,1101.223,1106.48,1110.548,1114.689,1127.678,1138.481,1141.149,1143.018,1145.087,1293,1,1,1,1,1,1,1,1,1,1293,2,2,2,2,2,2,2,2,2,1293,0,0,0,0,0,9e-04,0.0034,0.0086,0.0244,1293,7.414,9.427,11.351,14.044,24.898,37.787,42.047,46.331,51.769,1293,6,6,6,6,6,6,6,6,6,1293,0.4475,0.8087,0.9539,0.994,1,1,1,1,1,1293,0,0,0,0,0,0.719,1.516,2.996,5.713,1293,-540.015,-542.643,-544.677,-546.748,-553.242,-558.644,-559.978,-560.912,-561.947,1293,0,0,0,0,0,0,0,0,0,1293,0,0,0,0,0,0,0,0.081,0.126,1293,0,0,0,0,0,0,0,0,0,1293,0.594,0.881,0.974,0.997,1,1,1,1,1,1293,0,0,0,0,0,0.022,0.033,0.047,0.063,1293,1.002,1.035,1.043,1.052,1.084,1.163,1.208,1.259,1.356,1293,-539.655,-542.398,-544.535,-546.665,-553.116,-558.541,-559.887,-560.808,-561.851,1293
"10","cor",16,0,2,2,100,2,2,0,6,4,"CE",1042.099,1050.154,1055.521,1061.449,1080.965,1098.488,1103.209,1107.121,1110.778,1465,1041.578,1049.633,1055,1060.928,1080.445,1097.967,1102.688,1106.6,1110.257,1465,1054.772,1062.826,1068.193,1074.121,1093.638,1111.16,1115.882,1119.794,1123.45,1465,1,1,1,1,1,1,1,1,1,1465,2,2,2,2,2,2,2,2,2,1465,0,0,0,0,0,0,0,0,0,1465,28.997,32.716,36.548,41.508,58.868,78.49,84.19,89.94,97.202,1465,6,6,6,6,6,6,6,6,6,1465,0.6103,0.847,0.9625,0.9979,1,1,1,1,1,1465,0,0,0,0,0,0.497,1.453,2.68,4.458,1465,-516.789,-520.816,-523.5,-526.464,-536.222,-544.983,-547.344,-549.3,-551.128,1465,0,0,0,0,0,0,0,0,0,1465,0,0,0,0,0,0,0,0.073,0.109,1465,0,0,0,0,0,0,0,0,0,1465,0.737,0.909,0.98,0.999,1,1,1,1,1,1465,0,0,0,0,0,0.015,0.025,0.035,0.045,1465,1.007,1.017,1.021,1.024,1.034,1.05,1.057,1.064,1.073,1465,-516.789,-520.575,-523.424,-526.32,-536.131,-544.811,-547.283,-549.19,-550.999,1465
